trial,condition,category,angle_deg,repetition,observed,detected,predicted_angle_deg,onset_ms,hud_ms,false_positive_count,negative_minutes,notes
1,quiet,horn,0,1,0,,,,,,,
2,quiet,horn,0,2,0,,,,,,,
3,quiet,horn,0,3,0,,,,,,,
4,quiet,horn,0,4,0,,,,,,,
5,quiet,horn,0,5,0,,,,,,,
6,quiet,horn,45,1,0,,,,,,,
7,quiet,horn,45,2,0,,,,,,,
8,quiet,horn,45,3,0,,,,,,,
9,quiet,horn,45,4,0,,,,,,,
10,quiet,horn,45,5,0,,,,,,,
11,quiet,horn,90,1,0,,,,,,,
12,quiet,horn,90,2,0,,,,,,,
13,quiet,horn,90,3,0,,,,,,,
14,quiet,horn,90,4,0,,,,,,,
15,quiet,horn,90,5,0,,,,,,,
16,quiet,horn,135,1,0,,,,,,,
17,quiet,horn,135,2,0,,,,,,,
18,quiet,horn,135,3,0,,,,,,,
19,quiet,horn,135,4,0,,,,,,,
20,quiet,horn,135,5,0,,,,,,,
21,quiet,horn,180,1,0,,,,,,,
22,quiet,horn,180,2,0,,,,,,,
23,quiet,horn,180,3,0,,,,,,,
24,quiet,horn,180,4,0,,,,,,,
25,quiet,horn,180,5,0,,,,,,,
26,quiet,horn,225,1,0,,,,,,,
27,quiet,horn,225,2,0,,,,,,,
28,quiet,horn,225,3,0,,,,,,,
29,quiet,horn,225,4,0,,,,,,,
30,quiet,horn,225,5,0,,,,,,,
31,quiet,horn,270,1,0,,,,,,,
32,quiet,horn,270,2,0,,,,,,,
33,quiet,horn,270,3,0,,,,,,,
34,quiet,horn,270,4,0,,,,,,,
35,quiet,horn,270,5,0,,,,,,,
36,quiet,horn,315,1,0,,,,,,,
37,quiet,horn,315,2,0,,,,,,,
38,quiet,horn,315,3,0,,,,,,,
39,quiet,horn,315,4,0,,,,,,,
40,quiet,horn,315,5,0,,,,,,,
41,quiet,siren,0,1,0,,,,,,,
42,quiet,siren,0,2,0,,,,,,,
43,quiet,siren,0,3,0,,,,,,,
44,quiet,siren,0,4,0,,,,,,,
